,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración
21882,MTTO PLANTA AGUAS RESIDUALES,13106620,INSPECCION SEMANAL PTAR 710202,ESTADO BOMBAS,PM02,ABIE,2023-09-09 05:00:00,,,1,710202-1,,,,,
21882,MTTO PLANTA AGUAS RESIDUALES,13106620,INSPECCION SEMANAL PTAR 710202,ESTADO SISTEMA DE CONTROL Y POTENCIA,PM02,ABIE,2023-09-09 05:00:00,,,1,710202-1,,,,,
44447,PLAN MTTO MECÁNICO CALDERACLEAVER 659361,13106670,INSPECCIÓN SEMANAL CALDERA CLEAVER,VERIFICAR ESTADO VALVULAS DE SEGURIDAD,PM02,ABIE,2023-09-09 05:00:00,,alto,0.3333333333333333,659361-1,,,,,
44447,PLAN MTTO MECÁNICO CALDERACLEAVER 659361,13106670,INSPECCIÓN SEMANAL CALDERA CLEAVER,VERIFICAR ESTADO INSTRUMENTOS DE CONTROL,PM02,ABIE,2023-09-09 05:00:00,,alto,0.3333333333333333,659361-1,,,,,
44447,PLAN MTTO MECÁNICO CALDERACLEAVER 659361,13106670,INSPECCIÓN SEMANAL CALDERA CLEAVER,VERIFICAR OPERACION DEL MACDONALD,PM02,ABIE,2023-09-09 05:00:00,,alto,0.3333333333333333,659361-1,,,,,
44445,PLAN MTTO MECÁNICO CALDERA POWER 650008,13106668,INSPECCIÓN SEMANAL CALDERA POWER,VERIFICAR ESTADO VALVULAS DE SEGURIDAD,PM02,ABIE,2023-09-09 05:00:00,,alto,0.3333333333333333,650008-1,,,,,
44445,PLAN MTTO MECÁNICO CALDERA POWER 650008,13106668,INSPECCIÓN SEMANAL CALDERA POWER,VERIFICAR ESTADO INSTRUMENTOS DE CONTROL,PM02,ABIE,2023-09-09 05:00:00,,alto,0.3333333333333333,650008-1,,,,,
44445,PLAN MTTO MECÁNICO CALDERA POWER 650008,13106668,INSPECCIÓN SEMANAL CALDERA POWER,VERIFICAR OPERACION DEL MACDONALD,PM02,ABIE,2023-09-09 05:00:00,,alto,0.3333333333333333,650008-1,,,,,
44573,PLAN MTTO MECANICO TORRE ENFRIAMI 660020,13106698,INSPECCION SEMANAL TORRE DE ENFRIAMIENTO,REVISAR ESTRUCTURA GENERAL,PM02,ABIE,2023-09-11 05:00:00,,alto,0.3333333333333333,660020-1,,,,,
44573,PLAN MTTO MECANICO TORRE ENFRIAMI 660020,13106698,INSPECCION SEMANAL TORRE DE ENFRIAMIENTO,REVISAR FLAUTAS,PM02,ABIE,2023-09-11 05:00:00,,alto,0.3333333333333333,660020-1,,,,,
44573,PLAN MTTO MECANICO TORRE ENFRIAMI 660020,13106698,INSPECCION SEMANAL TORRE DE ENFRIAMIENTO,REVISAR BOMBAS,PM02,ABIE,2023-09-11 05:00:00,,alto,0.3333333333333333,660020-1,,,,,
29756,PLAN MTTO MECÁNICO DRUMP DUMPER 900008,13106634,INSPECCIÓN SEMANAL DUMPER TETRA 900008,REVISAR CILINDROS NEUMATICOS,PM02,ABIE,2023-09-09 05:00:00,,Muy elevado,0.3333333333333333,900008-1,,,,,
29756,PLAN MTTO MECÁNICO DRUMP DUMPER 900008,13106634,INSPECCIÓN SEMANAL DUMPER TETRA 900008,REVISAR MOTOREDUCTOR DEL PICADOR,PM02,ABIE,2023-09-09 05:00:00,,Muy elevado,0.3333333333333333,900008-1,,,,,
29756,PLAN MTTO MECÁNICO DRUMP DUMPER 900008,13106634,INSPECCIÓN SEMANAL DUMPER TETRA 900008,REVISAR TABLERO ELECTRICO,PM02,ABIE,2023-09-09 05:00:00,,Muy elevado,0.3333333333333333,900008-1,,,,,
20933,MTTO GRAL REDES HIDRAULICAS Y NEUMATICAS,13106589,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   SERVICIOS  GENERALES,PM02,ABIE,2023-09-09 05:00:00,,,0.125,689629-1,,,,,
20933,MTTO GRAL REDES HIDRAULICAS Y NEUMATICAS,13106589,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   FLOCULADOR,PM02,ABIE,2023-09-09 05:00:00,,,0.125,689629-1,,,,,
20933,MTTO GRAL REDES HIDRAULICAS Y NEUMATICAS,13106589,INSPECCION SEMANAL REDES HD 689629,ESTADO BOMBA   CALDERA,PM02,ABIE,2023-09-09 05:00:00,,,0.125,689629-1,,,,,
