,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración
0021,LUX BOGOTÁ,0021-PREPARACION JUGOS HIT,EQUIPOS PARA PREPARACION JUGOS HIT,70946544,TANQUE PREPAR  INGREDI CALIENTE AREA 221,20504,INSPECCION GRAL SEMANAL TK CALIENTE A291,13108137,INSPECCCION GRAL SEMANAL TK CALIENTE A29,sin especificar,PM02,ABIE,2023-09-15 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,829070,COMPRESOR DE REFRIGERACIÓN - TORNILLO 1,21069,INSPECCION SEMANAL COMPRESOR REFRIGERACI,13108182,INSPECCCION GRAL SEMANAL COMPRESOR REFRI,sin especificar,PM02,ABIE,2023-09-14 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 3,LINEA DE ENVASADO NRO 3    PET,51954002,ELEVADOR DE TAPA,20067,INSPECC. GENERAL SEMANAL ELEVADOR  TAPA,13108102,Inspec. general semanal elevador tapa,sin especificar,PM02,ABIE,2023-09-12 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 5,LINEA DE ENVASADO  PET N.R. KRONES,900134,TRANSPORTADOR DE TAPAS,20069,INSPECC. GENERAL SEMANAL TRANSP. TAPA,13108111,Inspec. general semanal transp. tapa,sin especificar,PM02,ABIE,2023-09-13 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 3,LINEA DE ENVASADO NRO 3    PET,599591,INSPECTOR DE BOTELLA LLENA,20123,INSPECC. GENERAL SEMANAL INSPEC. BOTELLA,13108115,Inspec. gneral semnal Insp.botella llena,sin especificar,PM02,ABIE,2023-09-12 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 3,LINEA DE ENVASADO NRO 3    PET,820078,ETIQUETADORA CONTIROLL HS,23838,INSPEC. GENERAL SEMANAL ETIQUETADORA ENV,13104432,Inspec. general semanal etiquetadora env,sin especificar,PM02,LIB.,2023-09-07 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 3,LINEA DE ENVASADO NRO 3    PET,599591,INSPECTOR DE BOTELLA LLENA,20123,INSPECC. GENERAL SEMANAL INSPEC. BOTELLA,13104437,Inspec. gneral semnal Insp.botella llena,sin especificar,PM02,LIB.,2023-09-07 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 3,LINEA DE ENVASADO NRO 3    PET,829889,TRANSPORTADOR DE ESTIBAS,31192,INSPECC. GENERALTRANSP. DE ESTIBAS L-3,13104456,Inspec. general semanal transp. palet,sin especificar,PM02,LIB.,2023-09-07 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 3,LINEA DE ENVASADO NRO 3    PET,829888,TRANSPORTADOR DE CAJAS,31191,INSP. GENERAL SEMANAL TRANSP. PAQ. L-3,13105424,Inspec. general semanal transp. paquetes,sin especificar,PM02,LIB.,2023-09-08 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 4,LINEA DE ENVASADO NRO 4    PET,739538,TUNEL DE CALENTAMIENTO  A VAPOR,20175,INSPECC. GENERAL SEMANAL TUNEL CALENTAM,13108117,Inspec.gneral semnal tunel calentamiento,sin especificar,PM02,ABIE,2023-09-12 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 1,LINEA DE ENVASADO NRO 1    PET,900229,ENJUAGADORA,20018,INSPECC. GENERAL SEMANAL ENJUAGADORA,13108091,Inspec. general semanal Enjuagadora,sin especificar,PM02,ABIE,2023-09-14 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 1,LINEA DE ENVASADO NRO 1    PET,900153,TRANSPORTADOR DE PALLETS,20019,INSPECC. GENERAL SEMANAL TRAN DE PALLETS,13108095,Inspec. general semanal transp. palet,sin especificar,PM02,ABIE,2023-09-11 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 1,LINEA DE ENVASADO NRO 1    PET,900153,TRANSPORTADOR DE PALLETS,20019,INSPECC. GENERAL SEMANAL TRAN DE PALLETS,13108096,Inspec. general semanal transp. palet,sin especificar,PM02,ABIE,2023-09-12 05:00:00,,0,0.1
0021,LUX BOGOTÁ,0021-LINEA 4,LINEA DE ENVASADO NRO 4    PET,82962702,CODIFICADOR,20040,PLAN MTTO PREVENTIVO CODIFICADOR L-4,13108098,INSPECCIÓN SEMANAL CODIFICADOR,sin especificar,PM02,ABIE,2023-09-13 05:00:00,,0,0.1
