,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración
0011,GASCOL SUR,0011-LINEA 1,"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",821002,ETIQUETADORA ERGOMODUL 1800-45,50501,EC.CAMBIO DE RASQUETA AGREGADO 2 PAPEL,13097895,INSPECCION SEMANAL ETIQUETADORA,PM02,LIB.,45173.20833333334,,,,0
0011,GASCOL SUR,0011-LINEA 1,"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",821002,ETIQUETADORA ERGOMODUL 1800-45,50501,PLAN MTTO MEC ETIQUETADORA L1 821002,13105315,INSPECCION SEMANAL ETIQUETADORA,PM02,LIB.,45176.20833333334,,,,0
0011,GASCOL SUR,0011-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,709935,TANQUE ALMACENAMIENTO AIRE BAJA,29041,PLAN MTTO TANQUE 709935 ALMACENAMIENTO A,13111983,INSPECCION SEMANAL TANQUE ALMACENAMIENTO,PM02,ABIE,45185.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO,90006201,GRUPO 6 BOMBAS DOSIFICADORAS,28924,PLAN MTTO GRUPO 6 BOMBAS DOSIF 90006201,13111960,INSPECCION SEMANAL GRUPO 6 BOMBAS DOSIFI,PM02,ABIE,45188.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-LINEA 1,"LINEA DE ENVASADO 1.25 l, 1,5 l  Y  2 l",821002,ETIQUETADORA ERGOMODUL 1800-45,50501,PLAN MTTO MEC ETIQUETADORA L1 821002,13112251,INSPECCION SEMANAL ETIQUETADORA,PM02,LIB.,45184.20833333334,,,,0
0011,GASCOL SUR,0011-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,749612,REDES ELECTRICAS,29184,PLAN MTTO REDES ELECTRICAS 749612,13112004,INSPECCION SEMANAL  REDES ELECTRICAS,PM02,ABIE,45185.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,69961406,TANQUE PULMON AIRE 1000 GALONES,29175,PLAN MTTO TANQUE PULMON AIRE 1000 GALONE,13111996,INSPECCION SEMANAL TANQUE ALMACENAMIENTO,PM02,ABIE,45185.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,749612,REDES ELECTRICAS,29184,PLAN MTTO REDES ELECTRICAS 749612,13112005,INSPECCION SEMANAL  REDES ELECTRICAS,PM02,ABIE,45188.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-EQUIPOS AUXILIARES,EQUIPOS PARA SERVICIOS INDUSTRIALES,820163,SECADOR REFRIGERATIVO,29182,PLAN MTTO SECADOR REFRIGERATIVO 820163,13111998,INSPECCION SEMANAL SECADOR DE AIRE,PM02,ABIE,45185.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-SALA DE JARABES,EQUIPOS PARA  PREPARACION DE JARABE,69960615,COCINA # 1,20587,"PLAN MTTO MEC COCINA # 1, 69960615",13111802,INSPECCION SEMANAL COCINA # 1,PM02,ABIE,45187.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-TRAT  AGUA LAVADORAS,TRATAMIENTO DE AGUA PARA LAVADORAS,70003509,TANQUE ALMACENAMIENTO AGUA FIBRA No. 2,22025,PLAN MTTO MEC TQ AGUA FIBRA No2 70003509,13111897,INSPECCION SEMANAL TANQUE ALMACENAMIENTO,PM02,ABIE,45187.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-TRAT  AGUA LAVADORAS,TRATAMIENTO DE AGUA PARA LAVADORAS,70003512,TANQUE ALMACENAMIENTO SALMUERA AG.LAVAD,22026,PLAN MTTO MEC TK ALMACENA 70003512 TANQU,13111898,INSPECCION SEMANAL TANQUE ALMACENAMIENTO,PM02,ABIE,45187.20833333334,,Muy elevado,,0.2
0011,GASCOL SUR,0011-PLANTAS DE AGUAS,TRATAMIENTO DE AGUA PARA ENVASADO,70965104,TANQUE ALMACENAMIENTO SALMUERA MR TEA,22029,PLAN MTTO MEC TANQUE 70965104 ALMACENAMI,13111899,INSPECCION SEMANAL TANQUE ALMACENAMIENTO,PM02,ABIE,45185.20833333334,,Muy elevado,,0.2
