,,,FORMATO PLANEACIÓN Y PROGRAMACIÓN DE ACTIVIDADES DE MANTENIMIENTO,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Código centro,Centro,Ubicac. técnica,Denominación Ubic.,Equipo,Denominación,No. Plan,Desc. Plan,Orden,Actividad,Descripción,Clase de orden,Status sistema,Inicio program.,Responsable,Prioridad,Duración
0002,GASCOL CENTRO,0002-LINEA BOTELLON 20 LTS,LINEA PRODUCCION BOTELLON 18.5 - 20 LT,508244,LAVADORA DE BOTELLONES,16052,P.MTTO ELECTRICO LAVADORA BOTELLON,13242741,P.INSPECCIÓN SEMANAL EQUIPO 508244,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-LINEA DE BOLSAS,LINEA PARA EL LLENADO DE BOLSAS,710220,LLENADORA DE BOLSAS LINEA 5,33016,P.MTTO MECANICO L5,13242764,P.INSPECCION SEMANAL EQUIPO 710220,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-EQUIPOS AUXILIARES AGUA,EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,659401,CALDERA N°2 COLMAQUINAS,42161,P.MTTO CONJUNTO QUEMADOR CALDERA,13242766,P.INSPECCIÓN SEMANAL EQUIPO 659373,sin especificar,PM02,LIB.,2024-02-02,,,"0,3"
0002,GASCOL CENTRO,0002-LINEA BOTELLON 20 LTS,LINEA PRODUCCION BOTELLON 18.5 - 20 LT,71003502,HIPEROZONIZADOR,42162,P.MTTO GEN. HIPEROZONIZADOR BOTELLON,13242767,P.INSPECCIÓN SEMANAL EQUIPO 71003502,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-PLANTA DE AGUAS,EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,660024,TORRE DE AIREACION,42165,P.MTTO GEN. TORRE AIREACION,13242768,P.INSPECCIÓN SEMANAL EQUIPO 660024,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-PLANTA DE AGUAS,EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,709650,TANQUES DE AGUA RECUPERADA 100 M3,16291,P.MTTO GENERAL SISTEMA AGUA RECUPERADA,13242744,P.INSPECCION SEMANAL EQUIPO 709650,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-AGUAS RESIDUALES,TRATAMIENTO DE AGUAS DE DESECHO,71015201,TANQUE NEUTRALIZADOR AGUAS RESIDUALES,16715,P.NEUTRALIZADOR AGUAS RESIDUALES PTAP,13242745,P.INSPECCIÓN SEMANAL EQUIPO 71015201,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-LINEA DE BOLSAS,LINEA PARA EL LLENADO DE BOLSAS,710166,LLENADORA DE BOLSAS LINEA 8,17421,P.MTTO MECANICO L8,13242746,P.INSPECCION SEMANAL EQUIPO 710166,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-LINEA DE BOLSAS,LINEA PARA EL LLENADO DE BOLSAS,71018401,CODIFICADOR 6 LITROS L9,17423,P.MTTO GENERAL CODIFICADOR CINTA L9,13242749,P.INSPECCION SEMANAL EQUIPO 71018401,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-PLANTA DE AGUAS,EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946901,POZO PROFUNDO BODEGA 1,19260,P.MTTO ELECTROMECANICO POZO BODEGA 1,13242757,P.INSPECCIÓN SEMANAL EQUIPO 70946901,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-PLANTA DE AGUAS,EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946902,POZO PROFUNDO AGUA CRISTAL,19282,P.MTTO ELECTROMECANICO POZO A.CRISTAL 2,13242758,P.INSPECCIÓN SEMANAL EQUIPO 70946902,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-PLANTA DE AGUAS,EQUIPOS DE TRATAMIENTO DE AGUA DE ENVASA,70946903,PLANTA DE LODOS,19283,P.MTTO PLANTA FILTRO PRENSA DE LODOS,13242759,P.INSPECCIÓN SEMANAL EQUIPO 70946903,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
0002,GASCOL CENTRO,0002-EQUIPOS AUXILIARES AGUA,EQUIPOS DE SERVICIOS INDUSTRIALES AGUA C,679363,PLANTA ELECTRICA,31252,P.MTTO PLANTA ELECTRICA AGUA CRISTAL,13242761,P.INSPECCIÓN SEMANAL EQUIPO 679363,sin especificar,PM02,LIB.,2024-02-01,,,"0,3"
